UF,Institution short name,Institution
MG,IFTM-Udi/TSPI,Instituto Federal de Educação, Ciência e Tecnologia de Uberlandia - Tecnologia em Sistemas para Internet
MG,IFTM-UPT,Instituto Federal de Educação, Ciência e Tecnologia do Triângulo Mineiro campus Uberaba Parque Tecnológico
MG,IFU,Instituto Federal de Educação, Ciência e Tecnologia de Uberaba
MG,II-PUC Minas,Instituto de Informática-PUC Minas
MG,INATEL,INATEL - Instituto Nacional de Telecomunicações
MG,PUC-MG,Pontifícia Universidade Católica de Minas Gerais
MG,UEMG-Frutal,Universidade do Estado de Minas Gerais - Frutal
MG,UEMG-Passos,Universidade do Estado de Minas Gerais - Unidade Passos
MG,UFMG,Universidade Federal de Minas Gerais
MG,UFOP,Universidade Federal de Ouro Preto
MG,UFSJ,Universidade Federal de São João Del Rei - CAP
MG,UFTM,Universidade Federal do Triângulo Mineiro
MG,UFU,Universidade Federal de Uberlândia
MG,UFU-Monte Carmelo/SI,Universidade Federal de Uberlândia - Campus Monte Carmelo - Sistemas de Informação
MG,UFV-Campus Florestal,Universidade Federal de Viçosa - Campus Florestal
MG,UFV-Rio Paranaíba,Universidade Federal de Viçosa - Campus Rio Paranaíba - Sistemas de Informação
MG,UNA-BH,UNA - Belo Horizonte
MG,UNICA,Faculdade Única de Ipatinga (Única Educacional)
MG,Unifei Itabira,Universidade Federal de Itajubá - Campus Itabira
MG,UNIFEI,Universidade Federal de Itajubá - Campus Itajubá
MG,Unileste,Centro Universitário do Leste de Minas Gerais
MG,UNIMONTES,Universidade Estadual de Montes Claros - UNIMONTES
MG,UNIPAM,University Center of Patos de Minas
MG,UNIS,Centro Universitário do Sul de Minas
MG,Unitri,Centro Universitário do Triângulo
MG,UNIVALE,Universidade Vale do Rio Doce- Univale
MG,UNIVAS,Universidade do Vale do Sapucaí - UNIVAS
MG,UNIVERSO,Universidade Salgado de Oliveira - UNIVERSO
MG,UNIVERSO-JF,Universidade Salgado de Oliveira - Juiz de Fora
MG,UU-CU,Universidade de Uberaba - Campus Uberaba
MS,CPPP - UFMS,Campus de Ponta Porã - Universidade Federal de Mato Grosso do Sul
MS,FACOM - UFMS,Faculdade de Computação - UFMS
MS,IFMS- NA,Instituto Federal de Educação, Ciências e Tecnologia do Mato Grosso do Sul - Campus Nova Andradina
MS,Instituto Federal de,Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul - Campus Três Lagoas
MS,UEMS,Universidade Estadual de Mato Grosso do Sul
MS,UFGD,Universidade Federal da Grande Dourados
MS,UFMS-CPCX,Departamento de Ciências Exatas - CPCX/UFMS
MT,UFMT - Cuiabá,Universidade Federal de Mato Grosso - Campus Cuiabá
MT,UNEMAT,Universidade do Estado de Mato Grosso
PA,CESUPA,Centro Universitario do Para - CESUPA
PA,IFPA,Instituto Federal de Educação, Ciência e Tecnologia do Pará
PA,IFPA-CI,Instituto Federal de Educação, Ciência e Tecnologia do Pará - IFPA Campus Itaituba
PA,UFOPA,Universidade Federal do Oeste do Pará
PA,UFPA,Universidade Federal do Pará
PB,FACISA,Faculdade de Ciências Sociais Aplicadas - FACISA (PB)
PB,IFPB,Instituto Federal de Educação, Ciência e Tecnologia da Paraíba
PB,IFPB-CG,Instituto Federal de Educação, Ciência e Tecnologia da Paraíba - Campus Campina Grande
PB,IFPB-JP,Instituto Federal de Educação, Ciência e Tecnologia da Paraíba - Campus João Pessoa
PB,UEPB,Universidade Estadual da Paraíba
PB,UFCG,Universidade Federal de Campina Grande
PB,UFPB,Universidade Federal da Paraíba
PB,Unifacisa,Centro Universitário Unifacisa
PB,UNIPÊ,Centro Universitário de João Pessoa
PB,UNIVAP,Universidade do Vale do Paraíba
PE,CESAR School,CESAR School
PE,UAG-UFRPE,Federal Rural University of Pernambuco - Academic Unit of Garanhuns
PE,UFPE,Universidade Federal de Pernambuco
PE,UFRPE,Universidade Federal Rural de Pernambuco
PE,UNIAESO,Faculdades Integradas Barros Melo
PE,UNIVASF,Universidade Federal do Vale do São Francisco
PE,UPE,Universidade de Pernambuco
PI,IFPI,Instituto Federal de Educação, Ciência e Tecnologia do Piauí
PI,IFPI-CP,Instituto Federal de Educação, Ciência e Tecnologia do Piauí - Campus Picos
PI,UESPI Parnaíba,Universidade Estadual do Piauí - Campus de Parnaíba
PI,UESPI,Universidade Estadual do Piauí
PI,UFPI,Universidade Federal do Piauí
PI,UFPI-CP,Universidade Federal do Piauí - Campus Picos
PI,UNINASSAU,Faculdade Maurício de Nassau Parnaíba
PR,CEULJI-ULBRA,Centro Universitário Luterano de Ji-Paraná da ULBRA
PR,PUCPR,Pontificia Universidade Católica do Paraná
PR,UEL,Universidade Estadual de Londrina
PR,UEM,Universidade Estadual de Maringá
PR,UEPG,Universidade Estadual de Ponta Grossa
PR,UF Paraná,Universidade Federal do Paraná
PR,UFPR-JA,Universidade Federal do Paraná - Jandaia do Sul
PR,UNICENTRO,Universidade Estadual do Centro-Oeste
PR,UNICESUMAR,UNICESUMAR - University Center of Maringa
PR,Uninter,Centro Universitário Internacional
PR,UNIOESTE-C,UNIOESTE - Campus Cascavel
PR,UNIOESTE-FI,UNIOESTE - Campus de Foz do Iguaçu
PR,UP,Universidade Positivo
PR,UTFPR,Universidade Tecnológica Federal do Paraná
PR,UTFPR-CM, Universidade Tecnológica Federal do Paraná - Campus Medianeira
PR,UTFPR-CT,Universidade Tecnológica Federal do Paraná - Campus Curitiba
PR,UTFPR-DV,Universidade Tecnológica Federal do Paraná (UTFPR) - Campus Dois Vizinhos
PR,UTFPR-PG,Universidade Tecnológica Federal do Paraná - Campus Ponta Grossa
PR,UTFPR-T,Universidade Tecnológica Federal do Paraná (UTFPR) - Campus Toledo
RJ,CEFET/RJ Petrópolis,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca - Campus Petrópolis
RJ,CEFET/RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca
RJ,Descomplica-RJ,Faculdade Descomplica
RJ,FGV-RJ,Fundação Getúlio Vargas
RJ,IME,Instituto Militar de Engenharia
RJ,IMPA,Instituto de Matemática Pura e Aplicada
RJ,PUC Rio de Janeiro,Pontificia Universidade Catolica do Rio de Janeiro
RJ,UERJ,Universidade do Estado do Rio de Janeiro
RJ,UF Rio de Janeiro,Universidade Federal do Rio de Janeiro
RJ,UFF,Universidade Federal Fluminense
RJ,UFF-PURO,Universidade Federal Fluminense - Polo Universitário de Rio das Ostras
RJ,UFRJ,Universidade Federal do Rio de Janeiro
RJ,UFRRJ,Universidade Federal Rural do Rio de Janeiro
RJ,UNIFESO,Centro Universitário Serra dos Órgãos - UNIFESO
RN,IFRN - CNAT,Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte - Campus Natal-Central
RN,IFRN-Par,Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte - Campus Parnamirim
RN,UERN,Universidade do Estado do Rio Grande do Norte
RN,UFRN,Universidade Federal do Rio Grande do Norte
RO,FIP,Faculdade de Porto Velho
RO,UNIR,UNIR - Universidade Federal de Rondonia
RR,CUEdA,Centro Universitário Estácio da Amazônia
RR,FAAr,FAAr - Faculdades Associadas de Ariquemes
RR,UERR,Universidade Estadual de Roraima
RR,UFRR,Universidade Federal de Roraima
RS,FACCAT,Faculdades Integradas de Taquara
RS,FURG,Fundação Universidade Federal do Rio Grande
RS,PUCRS,Pontifícia Universidade Católica do Rio Grande do Sul
RS,UCPEL,Universidade Católica de Pelotas
RS,UFP-CA,Universidade Federal do Pampa - Campus Alegrete
RS,UFPEL,Universidade Federal de Pelotas
RS,UFRGS,Universidade Federal do Rio Grande do Sul
RS,UFSM,Universidade Federal de Santa Maria
RS,UNIJUI - Santa Rosa,Universidade Regional do Noroeste do Estado do Rio Grande do Sul
RS,UNIJUI,Universidade Regional do Noroeste do Estado do Rio Grande do Sul
RS,UPF,Universidade de Passo Fundo
RS,URI-CE,Universidade Regional Integrada - Campus de Erechim
RS,URI-CSA,Universidade Regional Integrada - Campus de Santo Ângelo
SC,FIE,Faculdade Exponencial - FIE
SC,FURB,Universidade Regional de Blumenau
SC,IESGF,Instituto de Ensino Superior da Grande Florianópolis
SC,IFC,Instituto Federal Catarinense
SC,IFSC,Instituto Federal de Santa Catarina
SC,UCRC,Universidade Comunitária Regional de Chapecó
SC,UDESC,Universidade do Estado de Santa Catarina
SC,UDESC-CEPLAN,Centro de Educação do Planalto Norte
SC,UF Santa Catarina,Universidade Federal de Santa Catarina (Campus Florianópolis)
SC,UFFS,Universidade Federal da Fronteira Sul
SC,UFSC-ARA,Universidade Federal de Santa Catarina (Campus Araranguá)
SC,UNISOCIESC,UNISOCIESC - Centro Universitário Sociedade Educacional de Santa Catarina
SC,UNIVALI	,Universidade do Vale do Itajaí
SC,UNIVILLE,UNIVILLE - Universidade da Região de Joinville
SC,UNOESC - Chapecó,UNOESC - Universidade do Oeste de Santa Catarina - Chapecó
SC,UNOESC - São Miguel,UNOESC - Universidade do Oeste de Santa Catarina - São Miguel do Oeste
SC,UNOESC,Universidade do Oeste de Santa Catarina - Joaçaba
SE,Senai Cimatic,Faculdade de Tecnologia SENAI CIMATEC
SE,UFS,Universidade Federal de Sergipe
SP,CBM,Centro Universitário Barão de Mauá
SP,EEP,Escola de Engenharia de Piracicaba
SP,ESAMC,ESAMC Sorocaba
SP,ESPM,Escola Superior de Propaganda e Marketing de São Paulo
SP,FACENS,FACENS - Faculdade de Engenharia de Sorocaba
SP,FAJ,Faculdade de Jaguariúna - FAJ
SP,FAT-II,Faculdade Anhanguera Taubaté - Unidade II
SP,FATEC Americana,Faculdade de Tecnologia Americana
SP,FATEC Bauru,Fatec Bauru
SP,FATEC Cruzeiro,Faculdade de Tecnologia de Cruzeiro
SP,FATEC Garça,Faculdade de Tecnologia de Garça
SP,Fatec Lins,Faculdade de Tecnologia de Lins
SP,Fatec Mococa,Faculdade de Tecnologia de Mococa
SP,Fatec Ourinhos,Fatec Ourinhos
SP,FATEC São Paulo,Faculdade de Tecnologia de São Paulo
SP,FATEC-C,FATEC Carapicuíba
SP,Fatec-MC,Faculdade de Tecnologia de Mogi das Cruzes
SP,FATEC-SJC,Faculdade de Tecnologia de São José dos Campos
SP,FCT-UNESP,UNESP - Universidade Estadual Paulista (Faculdade de Ciências e Tecnologia - Presidente Prudente)
SP,FEI,Centro Universitário da FEI
SP,FIAP,Faculdade de Informática e Administração Paulista
SP,FIB,Faculdades Integradas de Bauru
SP,FTI,Faculdade de Tecnologia de Itu
SP,FTS,Faculdade de Tecnologia de Sorocaba
SP,FTT,Faculdade de Tecnologia Termomecanica
SP,IBILCE-UNESP,UNESP - Universidade Estadual Paulista (IBILCE)
SP,IFSC-USP,IFSC - Instituto de Física de São Carlos - USP
SP,IFSP - Barretos,Instituto Federal de São Paulo - Barretos
SP,IFSP - Birigui,Instituto Federal de Educação, Ciência e Tecnologia de São Paulo - Campus Birigui
SP,IFSP - Câmpus Presid,Instituto Federal de Educação, Ciência e Tecnologia de São Paulo - Campus Presidente Epitácio
SP,IFSP - Piracicaba,Instituto Federal de Educação, Ciência e Tecnologia de São Paulo - Campus Piracicaba
SP,IFSP - Salto,Instituto Federal de Educação, Ciência e Tecnologia de São Paulo - Campus Salto
SP,IFSP,Instituto Federal de São Paulo
SP,ITA,Instituto Tecnológico de Aeronautica
SP,ITE,Instituição Toledo de Ensino
SP,PUC-Campinas,Pontifícia Universidade Católica de Campinas
SP,Senac-SP,Centro Universitário Senac-SP
SP,UFABC,Universidade Federal do ABC
SP,UFSCar,Universidade Federal de São Carlos
SP,UFSCar-Sorocaba,Universidade Federal de São Carlos - Campus Sorocaba
SP,UNESC,Universidade do Extremo Sul Catarinense
SP,UNESP Rio Claro,Universidade Estadual Paulista Rio Claro
SP,UNESP-Bauru,UNESP - Universidade Estadual Paulista - (Faculdade de Ciências - Bauru)
SP,UNESP-RC,Universidade Estadual Paulista Unesp Rio Claro
SP,UNIARARAS,Centro Universitário Hermínio Ometto
SP,UNIBTA,Instituto Brasileiro de Tecnologia Avançada
SP,UNICAMP,Universidade Estadual de Campinas
SP,UNIFACEF,Centro Universitario Municipal de Franca
SP,UNIFAE,Centro Universitário das Faculdades Associadas de Ensino
SP,UNIFESP,Universidade Federal de São Paulo
SP,UNILINS,Centro Universitário de Lins
SP,UNINOVE,Universidade Nove de Julho
SP,UNIP-SC,UNIP - Campus Sorocaba
SP,UNISAL,Centro Universitário Salesiano de São Paulo
SP,UNISALESIANO,Centro Universitário Católico Salesiano Auxilum
SP,UniSantos,Universidade Católica de Santos
SP,UNISO,Universidade de Sorocaba
SP,UNITAU,Universidade de Taubaté
SP,UNIVEM,UNIVEM - Centro Universitário Eurípides de Marília
SP,Univesp,Universidade Virtual do Estado de São Paulo
SP,UNOESTE,UNOESTE - Universidade do Oeste Paulista
SP,UPM,Universidade Presbiteriana Mackenzie
SP,USF,Universidade São Francisco
SP,USJT,Universidade São Judas Tadeu
SP,USP - São Carlos,Universidade de São Paulo - Campus de São Carlos
SP,USP,Universidade de São Paulo
TO,CEULP,Centro Universitário Luterano de Palmas
TO,IFTO - Paraíso do To,Instituto Federal do Tocantins - Campus Paraíso do Tocantins
TO,UFT,Universidade Federal do Tocantins
TO,UNIRG,Centro Universitário UNIRG
